chemin,classe,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,XYDatasetTableModel.java,73,168,2.30137,17,0.1353747
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,DefaultOHLCDataset.java,128,192,1.5,28,0.05357143
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,XYCoordinate.java,71,84,1.1830986,17,0.06959403
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,YIntervalDataItem.java,37,66,1.7837838,8,0.22297297
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,VectorSeriesCollection.java,115,188,1.6347826,17,0.09616368
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,DefaultXYZDataset.java,158,246,1.556962,28,0.055605788
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,VectorDataItem.java,36,81,2.25,8,0.28125
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,NormalizedMatrixSeries.java,35,96,2.7428572,6,0.45714286
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,MatrixSeries.java,75,125,1.6666666,20,0.08333333
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,YInterval.java,41,71,1.7317073,10,0.17317073
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,YIntervalSeries.java,40,124,3.1,9,0.34444442
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,DefaultHighLowDataset.java,155,243,1.567742,34,0.04611006
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,DefaultTableXYDataset.java,293,289,0.98634815,64,0.01541169
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,XYIntervalSeriesCollection.java,132,225,1.7045455,24,0.07102273
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,AbstractXYDataset.java,28,62,2.2142856,5,0.44285712
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,XYZDataset.java,5,55,11.0,1,11.0
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/xy/,YWithXInterval.java,41,75,1.8292683,10,0.18292683
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/flow/,FlowDataset.java,18,109,6.0555553,3,2.0185184
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/flow/,FlowDatasetUtils.java,96,105,1.09375,26,0.042067308
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/flow/,NodeKey.java,61,84,1.3770492,11,0.1251863
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/flow/,FlowKey.java,72,90,1.25,13,0.09615385
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/flow/,DefaultFlowDataset.java,188,169,0.89893615,40,0.022473404
/Users/marinasirotina/Documents/GitHub/jfreechart/src/main/java/org/jfree/data/flow/,package-info.java,1,3,3.0,0,0
